,회사명,채용공고 제목,채용공고 세부 사항,기술 세부 사항,링크
51,일리아스AI,AI 딥러닝 개발자 경력 채용,"서울 구로구,경력 5년↑정규직,석사↑","데이터분석가,데이터엔지니어,앱개발,SI개발,딥러닝",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=47833383
52,(주)포휴먼테크,머신비전 S/W 및 AI 개발자 채용,"대전 유성구 외,경력무관정규직,학력무관","딥러닝,머신러닝,빅데이터,솔루션,신경망",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=47952470
53,(주)새론솔루션,"[경력] 프론트, 백엔드 개발자 채용","경기 의왕시,3 ~ 5년정규직,학력무관","딥러닝,머신러닝,알고리즘,AI(인공지능),API",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=47897639
54,(주)마크클라우드,특허/상표 데이터 등 분석(Python) 및 사업 기획 모집,"서울 강남구,신입경력정규직,대학교(4년)↑","데이터분석가,머신러닝,빅데이터,크롤링,Pandas",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=47734145
55,라온피플(주),AI 비전 딥러닝 개발자 모집,"경기 성남시 분당구,경력 7년↑정규직,석사↑","딥러닝,머신러닝,알고리즘,영상처리,컴퓨터비전",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=47716639
56,(주)알에스엔,[신입/경력] 인공지능 딥러닝 개발자 모집,"경기 고양시 일산서구,신입경력정규직,대학교(4년)↑","딥러닝,머신러닝,빅데이터,알고리즘,AI(인공지능)",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=47949930
57,(주)포스로직,"AI 인공지능, 딥러닝, 이미지 프로세싱 알고리즘 개발 신입 채용","서울 강남구 외,신입정규직,대학교(4년)↑","웹개발,딥러닝,머신러닝,솔루션,신경망",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=47809603
58,(주)딥브레인에이아이,[딥브레인AI] 딥러닝 연구원 / 엔지니어 모집 (전문연구요원),"서울 강남구,신입경력정규직,석사↑","데이터분석가,데이터마이닝,딥러닝,머신러닝,빅데이터",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=47948862
59,(주)써로마인드,"(주)써로마인드 개발자(FE,BE,ML) 모집공고","서울 관악구,경력 2년↑정규직,학력무관","백엔드/서버개발,프론트엔드,딥러닝,머신러닝,유지보수",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=47899532
60,주식회사 엑스페릭스,[4.5일제/엑스페릭스] 바이오인식/OCR 알고리즘 개발자,"서울 송파구,2 ~ 10년정규직,대학교(4년)↑","딥러닝,머신러닝,알고리즘,영상처리,컴퓨터비전",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=47947982
