,회사명,채용공고 제목,채용공고 세부 사항,기술 세부 사항,링크
40,휴먼교육센터,[전액무료 IT취업] 파이썬/데이터분석/인공지능/풀스택(무료숙식교육),"신입·경력,학력무관,서울 영등포구 외,연수생/교육생","백엔드, 사물인터넷, 프론트엔드, IT학원, 게임기획, 서비스기획, 스토리보드, 제안·컨설팅, 데이터분석, 앱기획, 콘텐츠기획, UI·UX기획, 서버관리, 클라이언트, 핀테크, HTTP, SI개발, GUI, 반응형웹, 인터페이스, 증강현실, 가상현실, 암호화폐, 음성인식, 인터페이스, 챗봇, 핀테크, SI개발, 메타버스, 네트워크관리, 서버구축, 시스템분석, 시스템설계, 시스템운영, 펌웨어, 서버관리, SI개발, 네트워크관리, 서버구축, 시스템운영, 모델링, 데이터마이닝, OLAP개발자, 데이터관리, DBMS, DB튜닝, DW모델러, 빅데이터, 데이터레이크, ETL, 데이터파이프라인, BI, 데이터분석, 데이터시각화, 분석모델링, 네트워크관리, 방화벽, 보안관제, 정보보안, 암호화폐, 핀테크, 시스템분석, 시스템설계, 정보보안, 아키텍처, 클라이언트, SI개발, 모델링, 증강현실, MMORPG, 가상현실, 클라이언트, 메타버스, 검증, 시스템분석, 시스템설계, 펌웨어, 회로설계, 모델링, 딥러닝, 자연어처리(NLP), 음성인식, 이미지프로세싱, 인공지능, 챗봇, 암호화폐, DID, 스마트컨트랙트, Dapp, 네트워크관리, 클라우드개발자, 클라우드아키텍트, 솔루션스아키텍트, 웹마스터, GUI, 반응형웹, 웹표준·웹접근성, 검증, 웹마스터, 테스터",https://www.jobkorea.co.kr/Recruit/Co_Read/C/24993048
41,랜드소프트㈜,랜드소프트㈜ 2024년도 PM 및 개발자 경력 채용,"경력3년↑,학력무관,서울 서초구 외,정규직","기록물관리사, 기록물관리, 소프트웨어개발, 솔루션, KMS, SI, SM, 서비스기획, 제안·컨설팅, 데이터분석, 앱기획, 콘텐츠기획, PM, 문서작성, 서무, 자료조사, 서버관리, SI개발, GUI, 반응형웹, 인터페이스, SI개발, 네트워크관리, 시스템분석, 시스템설계, 시스템운영, 서버관리, SI개발, 네트워크관리, 서버구축, 시스템운영, 데이터마이닝, 데이터관리, 빅데이터, 데이터파이프라인, 데이터분석, 데이터시각화, 네트워크관리, 정보보안, 시스템분석, 시스템설계, 정보보안, 클라이언트, SI개발, 가상현실, 클라이언트, 시스템분석, 시스템설계, 네트워크관리, 클라우드개발자, 클라우드아키텍트, 솔루션스아키텍트, 웹마스터, GUI, 반응형웹, 웹표준·웹접근성, 웹마스터, 테스터",https://www.jobkorea.co.kr/Recruit/Co_Read/C/42098498
42,이젠컴퓨터아카데미,[서울/경기]100프로 무료 취업교육생모집 (UI.UX웹디자인&퍼블리셔/웹개발/게임/빅데이터/영상),"신입·경력,고졸↑,서울 관악구 외,연수생/교육생","CAD, 앱디자인, MAX, Unity, 메타버스, 기업교육, e러닝, IT학원, 디자인, CAD, 웹에이전시, 2D디자인, 2D온라인게임, 3D디자인, 3D모델링, 3D온라인게임, 게임디자인, 게임소프트웨어, 모바일앱게임, 웹게임, 퍼블리싱, Java게임, 모바일, 모바일App, 게임기획, 서비스기획, 제안·컨설팅, 데이터분석, 앱기획, 콘텐츠기획, UI·UX기획, 영상제작, 증강현실, 가상현실, 메타버스, 모델링, 데이터관리, 빅데이터, 데이터레이크, 데이터파이프라인, 네트워크관리, 방화벽, 정보보안, 시스템분석, 시스템설계, 정보보안, 모델링, 증강현실, 가상현실, 클라이언트, 메타버스, 모델링, 딥러닝, 자연어처리(NLP), 음성인식, 인공지능, 웹마스터, GUI, 웹표준·웹접근성, 2D디자인, 모션그래픽, 애니메이션, 원화디자인, CG, Sign디자인, 디지털디자인, 모션그래픽, 아바타디자인, 애니메이션, 원화디자인, 모션그래픽, 애니메이션, CG, 영상제작, 모바일디자인, UI·UX기획, GUI, 모바일디자인, UI·UX기획, 맥디자인, 삽화·일러스트, 2D디자인, 모션그래픽, 애니메이션, 제품개발, 제어·설계, 기계조작, 캐드원, 3D설계, CAM, 건축설계, 건축CM, 리모델링, 캐드원, 건축설계, 특수효과, CG, 영상제작",https://www.jobkorea.co.kr/Recruit/Co_Read/C/20016955
43,대한상공회의소 광주인력개발원,[K-디지털/취업유망 취업연계]국비기술교육생모집(AI응용SW개발/CAD·CAM/자동화/전기),"경력무관,학력무관,광주 광산구 외,연수생/교육생","대한상공회의소 광주인력개발원, 공공기관, 공기업, 협회, 데이터분석, 서버관리, GUI, 반응형웹, 증강현실, 가상현실, 챗봇, 네트워크관리, 서버구축, 시스템분석, 시스템설계, 시스템운영, 펌웨어, 서버관리, SI개발, 네트워크관리, 서버구축, 시스템운영, 모델링, 데이터마이닝, 데이터관리, DB튜닝, DW모델러, 빅데이터, 데이터레이크, ETL, 데이터파이프라인, BI, 데이터분석, 데이터시각화, 분석모델링, 시스템분석, 시스템설계, 정보보안, 아키텍처, 클라이언트, SI개발, 시스템분석, 시스템설계, 펌웨어, 회로설계, 모델링, 딥러닝, 인공지능, 암호화폐, 스마트컨트랙트, 네트워크관리, 클라우드개발자, 클라우드아키텍트, 솔루션스아키텍트, 메카트로닉스, 임베디드, 자동제어, 펌웨어, 회로설계, PCB, PLC, 금속, 메카트로닉스, 생산기술, CAM, 제어·설계, 기계조작, 로봇설계, 3D설계, 전기설계, CAM, 2D설계, 정보통신, 생산기술, 정보통신, 제품개발, 제어·설계, 자동화라인, 에너지, 자동제어, 공정개발, 자동화라인, 임베디드, 회로설계, 에너지, 정보통신·IT, 연구·실험·기술, 제조·공정, 화학·섬유, 전기설비, 전기설비",https://www.jobkorea.co.kr/Recruit/Co_Read/C/196016
44,한국스마트정보교육원,[전액국비무료] 웹·어플 개발자 양성과정 교육생 모집,"경력무관,학력무관,전북 전주시 외,연수생/교육생","어플, 모바일App, 문서관리, 행정, 서버관리, 클라이언트, 핀테크, HTTP, 반응형웹, 인터페이스, 증강현실, 가상현실, 암호화폐, 음성인식, 인터페이스, 챗봇, 핀테크, SI개발, 메타버스, 네트워크관리, 서버구축, 시스템분석, 펌웨어, 서버관리, SI개발, 네트워크관리, 서버구축, 시스템운영, 모델링, 데이터마이닝, 빅데이터, 데이터레이크, 데이터분석, 네트워크관리, 시스템분석, 시스템설계, 정보보안, SI개발, 모델링, 증강현실, 시스템분석, 모델링, 딥러닝, 암호화폐, DID, 스마트컨트랙트, 네트워크관리, 클라우드개발자, 클라우드아키텍트, 웹마스터, 반응형웹, 웹마스터",https://www.jobkorea.co.kr/Recruit/Co_Read/C/28954678
45,㈜세종교육,[IT취업률100프로]AIoT/AWS/풀스택개발(무료숙식교육/비전공자가능/수도권기숙)국비무료 취준생 선착순 모집,"신입,학력무관,경기 성남시 외,연수생/교육생","빅데이터, Alot, 어플리케이션, FrameWork, 직업전문학교, 딥러닝, 서버관리, 인공지능, AWS, 서버구축, JAVA프로그래밍, web, 리눅스, Docker, 자바, Alo, 클라이언트, 서버구축, 반응형웹, 서버관리, AI, 도커",https://www.jobkorea.co.kr/Recruit/Co_Read/C/189368
46,Welocalize,[프리랜서/재택/N잡] 인터넷 광고 품질 데이터 라벨러 모집,"경력무관,학력무관,전국,프리랜서,13,000원(시)","데이터관리, 데이터라벨링, 웹마스터, 데이터마이닝, 검증",https://www.jobkorea.co.kr/Recruit/Co_Read/C/36851605
47,메트라이프생명보험㈜,[경력] [정규직] 이노비즈팀 Data Scientist 채용,"경력,대졸↑,서울 강남구,정규직","데이터 수집/전처리, EDA실행, 비즈니스 기회 요인 도출, 머신러닝 모델 분석 설계, 알고리즘 개발",https://www.jobkorea.co.kr/Recruit/Co_Read/C/35869265
48,㈜넥슨,[인텔리전스랩스] 리서치 사이언티스트 (NLP),"경력무관,학력무관,경기 성남시,정규직","선행 기술 조사, 자연어처리(NLP)",https://www.jobkorea.co.kr/Recruit/Co_Read/C/167952
49,㈜넥슨,[인텔리전스랩스] 리서치 사이언티스트 (Computer Vision),"경력무관,학력무관,경기 성남시,정규직","선행 기술 조사, 예측 모델 연구 개발, 데이터분석",https://www.jobkorea.co.kr/Recruit/Co_Read/C/167952
