,회사명,채용공고 제목,채용공고 세부 사항,기술 세부 사항,링크
629,(주)메디픽셀,Machine Learning Engineer (Vision),",경력 2~10년,대졸↑,정규직","딥러닝,알고리즘,컴퓨터비전,블록체인,빅데이터",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47920450&location=ts&searchword=%EB%94%A5%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=8888a7e6-2bb4-49a7-94ab-d18790eb62f2
630,씨제이올리브네트웍스(주),MSA 기반 Application Architect,",경력 7~12년,학력무관,정규직","딥러닝,Spring,Redis,SpringBoot,RestAPI",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47923059&location=ts&searchword=%EB%94%A5%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=8888a7e6-2bb4-49a7-94ab-d18790eb62f2
631,(주)메디치소프트,AI consultant(AI 컨설턴트) - 책임감이 강한 자,",경력,대졸↑,정규직·계약직,4,000 만원","딥러닝,알고리즘,빅데이터,솔루션,AI(인공지능)",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47823923&location=ts&searchword=%EB%94%A5%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=8888a7e6-2bb4-49a7-94ab-d18790eb62f2
632,(주)클라모스,[인천공항 상주/솔루션엔지니어/기술수행] PL 채용,",경력1년↑,학력무관,계약직","SE(시스템엔지니어),보안관제,네트워크,빅데이터,정보보안",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47948651&location=ts&searchword=%EB%94%A5%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=8888a7e6-2bb4-49a7-94ab-d18790eb62f2
633,(주)앤씨앤,"[앤씨앤/넥스트칩] 2024년 4월 연구소, 영업마케팅 각 부문 모집",",신입·경력,학력무관,정규직","딥러닝,유지보수,시장조사,세일즈프로모션,HTML",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47865244&location=ts&searchword=%EB%94%A5%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=8888a7e6-2bb4-49a7-94ab-d18790eb62f2
634,(주)엔코아,플레이데이터 부트캠프 강사 모집(인공지능/빅데이터/백엔드),",경력무관,학력무관,프리랜서","컴퓨터교육,코딩,IT강사,IT학원",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47557167&location=ts&searchword=%EB%94%A5%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=8888a7e6-2bb4-49a7-94ab-d18790eb62f2
635,(주)메디픽셀,Senior Machine Learning Engineer (Vision),",경력 5~15년,대졸↑,정규직","딥러닝,SE(시스템엔지니어),알고리즘,컴퓨터비전,Linux",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47698499&location=ts&searchword=%EB%94%A5%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=8888a7e6-2bb4-49a7-94ab-d18790eb62f2
636,주식회사볼링원,소프트웨어 개발자 채용,",경력무관,대졸↑,정규직","딥러닝,유지보수,Spring,Android,MariaDB",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47757125&location=ts&searchword=%EB%94%A5%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=8888a7e6-2bb4-49a7-94ab-d18790eb62f2
637,(주)덴컴,[덴컴] 인프라 및 보안 담당자 채용,",경력5년↑,대졸↑,정규직","딥러닝,AI(인공지능),NLP(자연어처리),NLU(자연어이해),Python",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47937171&location=ts&searchword=%EB%94%A5%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=8888a7e6-2bb4-49a7-94ab-d18790eb62f2
638,(주)여의시스템,PM (프로젝트 매니저) 경력사원 모집 - 산업용 서버,",경력3년↑,대졸↑,정규직","사업관리,상품기획,사업기획,기획,브랜드기획",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47749746&location=ts&searchword=%EB%94%A5%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=8888a7e6-2bb4-49a7-94ab-d18790eb62f2
639,(주)버드뷰,Data Scientist(Analyst),",경력 2~5년,학력무관,정규직","딥러닝,SE(시스템엔지니어),R,빅데이터,데이터마이닝",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47218549&location=ts&searchword=%EB%94%A5%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=8888a7e6-2bb4-49a7-94ab-d18790eb62f2
